"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin2","fin4","fin5","fin6","fin7","fin8","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14a","fin14a1","fin14b","fin16","fin17a","fin17a1","fin20","fin22a","fin22b","fin24","fin24a","fin24b","fin30","fin31a","fin31b","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin44a","fin44b","fin44c","fin44d","fin45","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Iran, Islamic Rep.","IRN",171520939,0.578405280920916,2,43,2,4,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,1,1,1,2,2,,1,1,1,3,1,1,1,1,1,,1,1,1,2,,,1,2,1,2,,,2,1,2,2,2,0,1,1,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",127604293,0.679030282647293,2,40,2,3,1,,1,1,0,1,1,2,2,2,,,1,1,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,3,3,1,2,2,1,1,2,1,2,,,2,2,,,,,1,2,2,1,3,0,0,1,4,4,,2,,1,2,1,
"Iran, Islamic Rep.","IRN",139002544,1.45957001930569,1,39,3,2,2,,1,1,0,1,1,1,2,2,,,2,,2,,1,,,,,,,,,,,,,,2,2,2,2,2,2,,1,1,2,6,2,1,1,1,1,,2,,,,,,1,2,1,2,,,1,1,2,4,1,0,1,4,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",170023218,0.616657743392758,2,72,3,5,2,,1,1,0,1,1,2,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,2,2,2,1,1,,2,2,2,5,1,4,1,1,2,,2,,,,,,1,1,1,2,,,1,1,1,4,2,1,0,4,1,1,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",116514582,0.549863894385672,1,40,2,2,2,,0,0,0,2,,,,,,,,,,,,1,2,1,2,4,2,1,2,2,,,,,2,2,2,2,2,2,,1,2,1,2,1,1,2,,,,2,,,,,,2,2,,,,,1,1,2,1,2,0,1,4,4,4,,4,,1,1,0,
"Iran, Islamic Rep.","IRN",192793401,0.951964676627911,1,15,2,3,2,,1,1,0,1,1,1,1,2,,,1,2,1,2,2,,,,,,,,,,,,,,2,2,2,2,1,1,,2,2,2,2,2,2,2,,,,2,,,,,,2,2,,,,,2,1,3,2,2,1,0,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",118420022,1.47147291653859,2,24,2,2,1,,1,1,0,1,1,1,2,2,,,1,2,1,2,1,,,,,,,,,,,,,,2,1,1,2,2,2,,1,2,1,3,3,2,2,,,,2,,,,,,1,2,1,2,,,3,3,2,3,,1,1,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",186765962,1.08505416392648,1,35,2,4,2,,1,1,1,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,1,1,1,1,1,2,,1,2,1,4,2,1,1,1,1,,2,,,,,,1,2,2,1,,,2,2,2,3,2,1,1,4,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",159158341,0.648948517090567,1,22,2,3,2,,1,1,0,1,1,1,1,2,,,1,2,1,1,2,,,,,,,,,,,,,,2,1,2,2,2,2,,2,1,2,1,3,3,2,,,,2,,,,,,1,2,2,2,2,1,3,3,2,3,,1,1,4,1,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",203205754,1.08132599838148,1,36,2,2,2,,1,1,0,1,1,2,2,2,,,2,,1,2,1,,,,,,,,,,,,,,2,2,2,2,1,2,,1,2,1,4,1,1,2,,,,2,,,,,,2,2,,,,,1,1,1,1,2,1,1,4,4,4,,4,,1,2,1,
"Iran, Islamic Rep.","IRN",171756026,0.497116617573888,1,63,3,5,2,,1,1,0,1,2,2,2,2,,,2,,2,,1,,,,,,,,,,,,,,2,2,2,2,1,2,,2,2,2,2,2,2,1,1,2,,2,,,,,,2,1,1,2,,,2,2,3,4,1,1,0,4,4,1,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",174181659,1.97905013465961,2,15,1,3,1,,1,1,0,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,2,2,1,,1,2,1,6,3,2,2,,,,1,2,1,2,,,2,2,,,,,3,3,3,3,,1,1,1,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",121119475,3.29963626608845,2,36,1,1,2,,1,1,0,1,1,2,2,2,,,1,1,1,2,2,,,,,,,,,,,,,,2,2,2,2,2,1,,1,1,1,3,2,1,1,1,2,,2,,,,,,1,2,1,2,,,2,2,2,2,3,1,1,4,1,4,,1,,2,1,1,
"Iran, Islamic Rep.","IRN",178573689,1.22957071818259,1,30,3,5,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,1,1,1,1,2,2,,1,1,1,1,2,1,2,,,,2,,,,,,2,2,,,,,1,1,2,2,2,0,1,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",192749912,0.744765680518245,1,45,1,1,1,,1,1,0,1,2,2,1,2,,,2,,2,,2,,,,,,,,,,,,,,2,2,2,2,2,1,,1,2,2,4,2,4,2,,,,2,,,,,,1,2,2,2,2,2,1,1,1,1,1,1,1,4,3,4,,4,,1,2,0,
"Iran, Islamic Rep.","IRN",191846234,0.327691543298072,2,53,3,5,1,,1,1,0,1,1,2,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,1,2,1,3,2,1,1,1,2,,1,2,1,2,,,1,2,2,2,2,2,2,2,2,3,1,0,1,1,3,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",140363879,0.592952217479869,2,43,3,5,1,,1,1,1,1,1,1,1,2,,,1,1,1,1,1,,,,,,,,,,2,2,2,1,1,1,1,1,2,1,2,2,2,2,1,3,3,1,1,1,,1,2,1,2,,,1,2,1,2,,,1,1,3,3,2,1,0,1,1,4,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",201902208,0.949945092234224,1,34,2,3,2,,1,1,0,1,1,2,1,2,,,1,2,2,,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,6,1,1,1,2,2,1,2,,,,,,2,2,,,,,1,1,1,2,1,0,0,4,4,4,,2,,1,2,1,
"Iran, Islamic Rep.","IRN",112161137,1.16385671416796,1,25,2,3,1,,1,1,0,1,1,1,1,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,1,2,2,,2,2,2,1,2,2,2,,,,2,,,,,,2,2,,,,,2,2,2,2,1,1,0,4,4,4,,4,,1,1,1,
"Iran, Islamic Rep.","IRN",123125589,1.34417036204776,2,65,1,4,2,,1,1,0,1,1,2,2,2,,,1,2,1,1,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,1,2,1,1,1,2,,2,,,,,,1,1,1,2,,,1,1,1,1,4,0,1,4,1,1,,1,,1,1,1,
"Iran, Islamic Rep.","IRN",199175904,0.446066727615108,2,52,2,2,1,,1,1,0,1,1,2,1,2,,,2,,1,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,1,2,1,1,1,1,2,,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,4,1,0,1,3,3,4,,1,,1,2,1,
"Iran, Islamic Rep.","IRN",141623747,1.3629370771471,1,26,2,3,1,,1,1,0,1,1,1,1,2,,,2,,1,2,1,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,1,2,1,1,2,,,,2,,,,,,2,2,,,,,2,1,2,4,1,0,1,4,4,4,,4,,2,1,1,
"Iran, Islamic Rep.","IRN",158671821,0.862758070092843,2,50,1,1,2,,1,1,0,1,2,2,2,2,,,1,2,1,2,2,,,,,,,,,,,,,,2,2,2,2,2,2,,2,2,2,2,2,2,2,,,,2,,,,,,1,2,1,2,,,1,1,1,1,1,0,0,4,1,4,,4,,1,2,1,
