"year_b","id_i","weight_d","respondent_age_o","respondent_education_level_o","in_the_workforce_b","household_income_quintile_o","main_source_emergency_funds_c","has_account_b","has_financial_institution_account_b","has_mobile_money_account_b","made_or_received_digital_payment_b","received_government_pension_b","received_government_transfers_c","received_government_pension_payment_c","used_phone_for_finance_b","owns_mobile_phone_b","saved_in_past_year_b","any_deposit_into_account_b","any_withdrawal_from_account_b","reason_no_account_c","borrowed_in_the_past_year_c"
2017,233,0.2860514716047312,33,2,1,4,0,1,1,0,1,0,0,0,0,1,1,1,0,NA,1
2017,234,0.2860514716047312,32,2,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,NA,3
2017,238,1.509103998631455,23,1,0,3,3,1,1,0,1,0,0,0,0,1,1,0,0,NA,1
2017,243,1.879588129758262,55,1,0,1,NA,1,1,0,1,1,1,1,0,0,0,1,1,NA,1
2017,245,1.3144014154993044,55,0,1,2,2,1,1,0,1,1,1,1,NA,1,0,NA,NA,6,0
2017,249,0.2860514716047312,38,1,0,3,0,1,1,0,1,0,1,0,0,1,1,1,1,NA,3
2017,250,0.31514344007227757,18,1,0,3,2,1,1,0,1,0,1,0,0,1,0,NA,NA,NA,0
2017,251,0.2860514716047312,42,2,0,1,1,1,0,1,1,0,0,0,NA,1,1,NA,NA,0,2
2017,256,1.9544700811243398,40,1,0,1,2,1,1,0,1,0,NA,0,NA,1,1,NA,NA,3,0
2017,257,0.6485053959419441,53,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,2
2017,261,0.31514344007227757,29,1,0,3,0,1,1,0,1,0,1,0,0,1,1,1,1,NA,3
2017,262,0.2860514716047312,32,2,1,4,3,1,1,0,1,0,0,0,1,1,1,1,1,NA,2
2017,263,1.5473073640406303,40,1,1,1,0,1,1,1,1,0,1,0,NA,1,1,NA,NA,1,1
2017,264,1.0469537794322168,27,2,1,2,2,1,1,0,1,0,0,0,1,1,1,1,1,NA,0
2017,265,0.2860514716047312,31,2,1,4,3,1,1,0,1,0,3,0,0,1,1,1,1,NA,2
2017,271,0.2860514716047312,99,2,1,4,0,1,1,0,1,0,1,0,0,1,0,0,0,NA,3
2017,272,0.2860514716047312,42,2,1,4,0,1,1,0,1,0,1,0,1,1,1,1,1,NA,2
2017,273,0.2860514716047312,65,0,0,0,0,1,1,0,1,0,2,0,0,1,1,0,1,NA,1
2017,279,1.7651817977615107,99,0,0,1,0,1,1,0,1,1,1,1,NA,0,0,NA,NA,1,4
2017,280,0.2860514716047312,36,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,NA,1
2017,287,0.2860514716047312,50,2,1,4,1,1,1,0,1,0,0,0,1,1,1,0,1,NA,3
2017,289,0.6091363588314156,30,1,1,3,0,1,1,0,1,0,1,0,0,1,0,1,0,NA,4
2017,290,1.3667665806717302,48,1,1,4,2,1,1,1,1,0,1,0,1,1,1,1,1,NA,2
2017,291,0.7849709954963814,32,1,0,2,0,1,1,1,1,0,1,0,0,1,1,0,1,NA,3
2017,293,0.9865378754920365,28,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,NA,NA,3
2017,297,1.2377017856395345,20,1,0,4,0,1,1,0,1,0,1,0,1,1,1,1,1,NA,1
2017,299,0.992016739004525,55,1,0,4,3,1,1,0,1,0,1,0,0,1,1,1,1,NA,0
